timestamp,src_ip,dst_ip,src_port,dst_port,protocol,bytes_sent,bytes_received,duration,packets,tcp_flags,http_status
2025-03-18T07:01:30.264549,189.144.119.130,20.100.185.131,2179,3389,TCP,555,8067,65.120583321821,23,PSH,200
2025-03-18T10:20:40.264549,23.211.97.168,130.236.172.211,40175,3389,TCP,34585,41490,43.768753189445974,19,SYN,200
2025-03-19T00:25:54.264549,213.153.140.111,189.205.30.187,53467,443,TCP,61430,39942,104.33340736926961,60,ACK,301
2025-03-18T20:56:14.264549,199.161.195.37,34.94.118.8,44307,22,TCP,69553,9182,50.27278331327785,47,PSH,200
2025-03-18T17:29:07.264549,172.22.217.44,223.81.83.148,45129,3389,TCP,15280,28926,16.35017232694592,59,RST,200
2025-03-18T22:38:21.264549,215.254.158.10,106.221.174.249,4704,53,TCP,94558,1765,180.40777741156438,95,RST,200
2025-03-18T07:10:32.264549,208.143.201.245,96.121.38.99,5931,3389,UDP,28020,26059,30.29161230919977,78,SYN,200
2025-03-18T23:04:33.264549,117.111.75.65,187.224.172.58,5358,3389,TCP,9717,19425,40.6804832306685,19,SYN,200
2025-03-18T14:49:31.264549,15.230.211.157,122.235.228.160,24706,80,TCP,37290,7558,1.2347634693888863,99,FIN,301
2025-03-18T16:30:14.264549,139.181.14.199,89.14.193.184,24482,443,TCP,51459,34162,125.91049813352363,26,RST,200
2025-03-18T22:30:55.264549,96.235.119.103,33.113.34.218,36215,80,TCP,27895,46898,15.518514628008713,95,FIN,200
2025-03-18T13:15:10.264549,32.13.189.180,223.57.121.6,15665,443,TCP,93086,12106,39.64724509058406,33,ACK,200
2025-03-18T08:44:46.264549,213.248.211.248,86.221.115.38,5531,80,UDP,99772,19538,28.701951890845304,8,SYN,200
2025-03-18T16:09:42.264549,23.214.203.197,202.3.245.250,2680,80,UDP,12879,35236,230.4921200326833,89,PSH,200
2025-03-18T09:38:57.264549,190.218.207.51,144.185.147.52,29314,80,ICMP,40041,16924,21.288324082297137,38,ACK,200
2025-03-18T23:44:38.264549,125.208.62.246,156.178.213.146,27383,443,TCP,63565,38576,16.891261234805643,29,RST,200
